34.4827,23.8294,144.0114,1
27.049,28.9813,133.618,1
35.1646,24.8861,143.2068,1
36.5566,22.1572,145.9072,1
17.591,103.9901,121.2679,2
17.987,111.1887,131.1103,2
18.5248,110.0984,115.1927,2
18.3199,109.7857,106.2019,2
17.9397,113.6909,110.8052,2
17.6493,112.3856,121.3025,2
44.0079,29.7266,70.4075,3
40.6451,29.1884,86.985,3
47.3316,27.4701,86.2088,3
47.6218,33.6051,67.022,3
53.4044,31.7253,54.5575,3
50.4156,26.9622,68.0759,3
52.7491,26.8265,77.5856,3
88.1852,14.7682,165.799,1
55.0307,14.4925,188.7194,1
60.1874,12.1885,171.303,1
76.5435,13.2082,164.923,1
23.9894,51.4795,75.8789,3
21.7842,55.5253,75.628,3
18.7875,68.7179,77.6154,3
20.9022,60.3724,81.6704,3
24.7803,51.5877,79.0758,3
33.9486,36.0343,142.0587,2
42.7344,31.449,132.2459,2
27.9667,47.4899,117.4936,2
25.2844,62.9328,100.81,2
25.7829,52.8405,116.4422,2
25.3702,54.7568,109.6032,2
29.518,26.8618,152.1167,1
29.7764,29.5556,145.4002,2
29.8171,34.182,145.8663,1
23.0782,76.7593,71.7633,2
19.8369,88.2704,65.2542,2
22.2074,47.1544,127.6353,1
32.286,36.6618,139.8432,1
28.5105,37.9819,156.7442,1
23.2693,49.4813,112.5355,2
25.1229,51.3277,109.2212,2
22.6168,48.1577,74.5875,3
24.8285,46.9742,70.1551,3
22.1663,49.6272,75.7511,3
20.7127,54.0527,76.0608,3
